serial_no,height,fold,temp_2023,temp_2022,temp_2021,temp_avg,Pop_500,Green_400,Ag_500,Trans_5000,Resi_100,Comm_400,Ind_1100,Cul_2500,Pub_4700,GFA_5000,BCR,SD_H,Altitude,Slope,Longitude,Latitude,Solar_radi
V02Q1940762,4.1,4.0,27.5525846222,26.9857592253,27.6780432916,27.4054623797,27114,96000,0,6060725,26000,12700,0,87425,1041250,90782200.0,47.9397010803,5.67007017136,19.2861995697,3.69859004021,126.8644211,37.54024511,499.609985352
V02Q1940766,3.5,14.0,26.3024146995,26.1437913784,27.2063629426,26.5508563402,28258,3900,0,6273825,24775,30750,3975,92775,1231600,86817600.0,49.1236991882,2.95918011665,22.0723991394,3.24954009056,126.8631017,37.54565284,495.45098877
V02Q1940792,3.3,12.0,27.1696260684,26.4921530322,27.2539931365,26.971924079,28807,73725,0,6120175,26900,22600,0,79700,1035900,90978800.0,34.8456001282,15.2124004364,17.3756999969,3.64278006554,126.86453,37.53842273,499.342987061
V02Q1940614,3.9,20.0,28.2251739618,26.9213659643,27.7082383666,27.6182594309,29365,29600,0,6173375,16500,2400,0,74475,1123125,95593900.0,32.2551002502,9.61026000977,12.3501996994,2.44425988197,126.8717674,37.53754208,500.484985352
V02Q1940259,4.4,13.0,27.6066545414,26.9609983766,27.6619973545,27.4098834242,28889,0,0,6152300,30050,61325,0,85425,1075000,91156600.0,35.2312011719,5.17560005188,17.6396999359,3.64361000061,126.8637928,37.5339278,502.494995117
V02Q1940741,3.3,20.0,26.8241631054,26.2000473138,26.8830346737,26.6357483643,20560,27575,0,6402075,0,37850,0,72075,1215225,100175000.0,39.0108985901,25.4557991028,8.28248977661,0.19285300374,126.8785737,37.53575061,499.209991455
V02Q1940759,3.1,3.0,27.3012846798,26.3152061287,27.0650321052,26.8938409713,17706,44100,0,6471600,4875,45275,10975,76975,1138700,102395000.0,21.8416996002,38.2229995728,8.50597953796,0.226779997349,126.8830174,37.53664596,499.195007324
V02Q1940776,3.2,7.0,26.9074548908,26.3052843067,26.9317205171,26.7148199049,24677,96400,0,6397475,21350,2400,0,73075,1181125,98068900.0,3.23325991631,0.0,14.7908000946,7.70043992996,126.8750264,37.5396843,500.571990967
V02Q1940771,3.4,3.0,27.5113497151,26.8884623016,27.597583042,27.3324650195,13840,35900,0,6421550,24875,43275,10975,74575,1153550,101730000.0,6.65974998474,23.3344993591,8.3453502655,0.113049998879,126.8835081,37.53513426,498.95098877
V02Q1940489,3.9,19.0,27.0751664462,26.9376553578,27.5717441509,27.1948553183,24489,10425,0,5991350,17975,53975,0,90525,1138925,92243900.0,42.304901123,8.20141029358,9.6051197052,2.00959992409,126.8645921,37.53077062,500.977996826
V02Q1940774,4.2,7.0,27.2583772555,26.610485348,27.261987958,27.0436168538,22702,42175,0,6427100,46375,28525,0,78625,1168700,100742000.0,22.8666000366,5.3665599823,8.46150970459,0.115833997726,126.878244,37.53851648,499.141998291
V02Q1940849,3.4,6.0,27.7055294397,26.9736626645,27.891430645,27.5235409164,25665,0,0,6961650,36875,39200,0,48300,1175350,73235100.0,45.7150001526,3.42444992065,11.6349000931,0.581678986549,126.8328365,37.53555966,498.997009277
V02Q1940749,4.0,5.0,27.5829226021,26.7431857957,27.5357941595,27.2873008524,30363,0,0,6073075,36250,15575,0,49375,1124425,85116800.0,26.8395996094,11.5915002823,9.91781997681,0.0582339018583,126.8422566,37.52524025,498.875
V02Q1940705,4.3,6.0,27.1551399912,26.4603624847,27.2630015432,26.9595013397,27757,1525,0,5971450,27050,22200,0,54900,1179750,90364200.0,30.0251998901,5.45987987518,28.9125995636,2.89670991898,126.848613,37.52307169,500.087005615
V02Q1940287,4.4,15.0,27.1666975309,26.5231570821,27.1986352305,26.9628299478,20216,81075,0,6868775,33500,22275,0,48375,983275,78490900.0,32.4006996155,4.85901021957,25.6133995056,3.31798005104,126.8300752,37.53139333,496.434997559
V02Q1940754,3.1,16.0,27.6486004274,26.9122495817,27.6001332233,27.3869944108,30815,0,0,5906900,28800,32400,0,42850,1131425,86497300.0,38.2095985413,14.4555997849,12.3852996826,0.512272000313,126.8426812,37.52165976,498.221008301
V02Q1940760,3.6,6.0,26.2546739969,26.3285905915,27.0107498559,26.5313381481,24750,71100,0,5718825,35825,11000,0,56875,1188075,89931100.0,20.714099884,18.5625991821,32.1141014099,2.87184000015,126.8469207,37.51760243,497.731994629
V02Q1940464,3.4,6.0,27.3826471985,26.8067010382,27.5266229064,27.2386570477,23765,41200,0,5859450,6950,17675,0,43425,1077325,84632200.0,40.9916992188,2.72763991356,33.1901016235,2.28798007965,126.835739,37.52032974,497.742004395
V02Q1940469,3.9,5.0,26.6242173721,26.4595262454,27.3160957869,26.7999464681,15185,117925,7050,5047350,0,8750,0,57450,1168775,86788100.0,32.9478988647,7.23088979721,21.6646003723,1.62257003784,126.8433947,37.51062672,501.808013916
V02Q1940835,3.6,11.0,27.7595789242,26.9988198684,27.9861928195,27.5815305374,22876,16825,0,5664650,19275,35600,0,104075,1241375,95465400.0,36.8885993958,4.6070599556,8.59002971649,0.569373011589,126.86114,37.52115715,499.162994385
V02Q1940773,3.0,2.0,27.671348528,26.9577032458,27.7923994216,27.4738170651,23906,0,0,5984525,18725,46650,0,112975,1161200,91051000.0,25.3586997986,6.33738994598,8.43177032471,0.145607993007,126.8591755,37.52856046,498.989990234
V02Q1940765,3.9,10.0,27.0678395062,26.4986762312,27.148585716,26.9050338178,11078,131275,0,5955700,0,29325,43575,91900,1249200,107354000.0,6.28253984451,10.5356998444,17.6270008087,2.46360993385,126.8705354,37.51073166,492.843994141
V02Q1940876,3.6,12.0,26.895787037,26.3030457197,26.6527619603,26.617198239,34643,19375,0,6398850,19650,1175,3975,91075,1058600,92174700.0,17.8187007904,10.6065998077,37.0770988464,4.60019016266,126.8690922,37.54305082,497.526000977
V02Q1940769,3.9,5.0,27.8514616402,27.092289886,27.9490488485,27.6309334583,25647,0,0,6022450,16900,32225,0,91875,1161475,90699600.0,36.4617004395,5.11870002747,8.42300033569,0.244203999639,126.8557268,37.52786532,498.061004639
V02Q1940707,3.8,10.0,26.6767680275,26.2074520503,26.928848528,26.6043562019,22725,3650,0,5534200,9150,22825,0,85700,1221500,100581000.0,28.1114006042,20.9284000397,9.31884002686,0.346700012684,126.8608799,37.51549527,498.808013916
V02Q1940794,3.8,8.0,27.2369171415,26.5972702144,27.222895515,27.0190276236,30522,19375,0,6334350,42725,28375,3975,98300,1134875,90352600.0,24.6809005737,26.9860992432,27.3264007568,3.04278993607,126.8677706,37.54573201,498.108001709
V02Q1940715,3.3,6.0,27.2962126916,26.6055535514,27.213429703,27.0383986487,16561,91275,6775,5123425,27225,15850,0,48125,1092575,82704500.0,17.6238994598,5.83094978333,25.9027996063,2.30634999275,126.8376519,37.51259339,502.473999023
V02Q1940778,3.3,13.0,27.7196640551,26.9769752239,27.7923202646,27.4963198478,22830,56200,0,6137950,13850,62175,7225,114000,1173700,105743000.0,31.1872005463,6.92819976807,6.65504980087,0.0603725984693,126.8755481,37.52259074,499.04598999
V02Q1940729,4.3,3.0,26.4038425926,25.418945339,26.6183122896,26.1470334071,12793,129200,7225,5156175,8300,5200,0,48900,1064250,80338100.0,19.8465995789,13.7476997375,36.4365997314,0.942662000656,126.8320835,37.51306228,501.29699707
V02Q1940659,3.6,19.0,27.2881221171,26.7272452008,27.2225200725,27.0792957968,19179,875,0,6824925,16900,43575,0,53775,1245850,70243600.0,25.6685009003,5.37961006165,16.2350997925,1.68598997593,126.8278791,37.53774885,499.084014893
V02Q1940803,4.2,19.0,26.5659135251,26.7120266924,27.6866559983,26.9881987386,29370,8900,0,5975900,19650,68800,0,109425,1146700,102960000.0,39.3208007812,5.94618988037,7.9603600502,0.15242099762,126.8722936,37.52303768,498.912994385
V02Q1940795,3.8,17.0,27.0585659171,26.4289505325,27.1964781746,26.8946648747,23146,27525,0,6173525,24750,24725,0,47175,1109450,85143800.0,29.5242996216,8.23192977905,14.7919998169,0.886276006699,126.8372588,37.5240969,498.049987793
V02Q1940874,4.2,17.0,27.5077469136,26.8452432675,27.6135801467,27.3221901093,26720,0,0,5809675,49575,34450,0,58150,1220750,92268200.0,49.2944984436,3.77160000801,46.0433006287,5.47274017334,126.8500062,37.51933652,499.647003174
V02Q1940805,4.3,14.0,26.372002866,25.805084707,26.4056837183,26.1942570971,17650,126350,5950,5221550,14950,9050,0,48900,1081425,81872000.0,19.7070999146,19.6532001495,30.9769001007,4.77501010895,126.8349248,37.51324732,504.062011719
V02Q1940481,3.5,7.0,28.6018463404,27.011823277,27.8307523418,27.8148073197,28202,0,0,5802050,39450,42325,0,84525,1168250,92812300.0,46.1608009338,3.10634994507,23.573600769,3.78139996529,126.8546531,37.52408281,501.643005371
V02Q1940806,3.8,19.0,27.0613262278,26.551953178,27.1551823254,26.9228205771,28328,0,0,6251425,20150,72350,3975,99450,1356225,86696000.0,29.6518993378,30.4571990967,15.399600029,1.8055100441,126.8667974,37.54803199,497.433990479
V02Q1940855,3.4,10.0,27.0510322972,26.9239891975,28.0928352203,27.3559522383,26911,2300,0,5890925,33700,25225,0,97500,1176825,92410200.0,43.2344017029,3.43074989319,24.8626995087,3.19942998886,126.8557892,37.52455321,496.789001465
V02Q1941013,0.0,11.0,27.6047244268,27.207167752,28.2000710632,27.670654414,26911,0,0,5851000,34900,17425,0,97500,1176825,92307100.0,46.1608009338,3.43074989319,24.8626995087,1.65051996708,126.855007,37.5245308,497.550994873
OC3CL200111,4.0,14.0,25.8978626543,24.9995710385,25.6579412794,25.5184583241,15453,186200,0,5870800,19700,9075,0,42450,1022700,82230600.0,19.7863998413,2.02259993553,31.6516990662,5.50795984268,126.8316555,37.52014221,494.812011719
OC3CL200034,4.0,2.0,26.7118982329,25.9704318444,27.0352448632,26.5725249802,19144,7350,0,5789800,13900,43075,0,106900,1222075,93800500.0,29.3574008942,7.98075008392,8.30492973328,0.469742000103,126.8635581,37.52591806,498.92199707
OC3CL200166,4.4,12.0,27.6082275132,25.8292094017,26.18653651,26.541324475,16706,16275,0,5825375,13775,35550,14075,100575,1246175,105813000.0,13.1364002228,24.2486991882,8.85013008118,0.576116979122,126.867697,37.5132245,498.834014893
OC3CL200058,4.3,6.0,27.3304805996,26.3764183502,26.8454059829,26.8507683109,7668,180525,0,6409175,0,0,14725,86475,1198750,101982000.0,1.30470001698,0.0,9.3195400238,0.778234004974,126.8857541,37.53245995,498.631011963
OC3CL200059,4.3,5.0,26.5885846561,25.7103998779,26.1618517439,26.1536120926,7560,135000,73325,6807150,0,21575,2600,52775,1203125,67752700.0,22.1807003021,0.0,22.6515007019,1.56097996235,126.8240324,37.53911722,497.351013184
OC3CL200139,3.5,9.0,26.935116843,26.1139656254,26.3737952711,26.4742925798,12652,164650,0,6289525,16225,9325,32475,122250,1259675,110806000.0,1.07940995693,0.0,9.58296012878,1.73434996605,126.8767166,37.51418744,499.743011475
V02Q1940171,3.7,15.0,27.2264671517,26.542715294,27.2612260887,27.0101361781,21148,23150,0,6397575,25200,114500,11800,88825,1152250,107235000.0,39.0350990295,10.232000351,9.86312961578,0.425343990326,126.8986049,37.52413002,499.29699707
V02Q1940127,3.5,19.0,27.7132986111,27.1096619815,27.7815569153,27.5348391693,11379,102075,0,6624700,0,108825,14725,92175,1298175,101790000.0,42.5298995972,9.13000965118,13.5270004272,0.33023199439,126.9012217,37.53620112,499.07699585
V02Q1940169,3.8,9.0,27.4490994268,26.7349374006,27.5801165887,27.2547178053,22427,0,0,6274225,38675,30550,0,68225,1351050,112025000.0,49.7673988342,2.69421005249,13.6156997681,0.645245015621,126.906686,37.4965129,498.621002197
V02Q1940077,3.4,7.0,27.5294742063,26.7991894602,27.5910134734,27.3065590467,18334,2500,0,6077675,24100,44350,8100,56925,1276625,114309000.0,29.7234992981,3.32010006905,11.4362001419,0.819369018078,126.8965606,37.49095208,498.778991699
V02Q1940121,3.7,9.0,27.1363639601,26.1956499288,27.4989021357,26.9436386749,14570,1225,0,6415225,10800,88350,0,62225,1331175,115700000.0,47.8096008301,3.67098999023,10.9497995377,0.164912000299,126.8977171,37.49694974,498.917999268
V02Q1940185,3.5,17.0,27.5268816138,26.8157812789,27.6446966845,27.3291198591,16976,28975,0,6393075,27625,75750,11650,74725,1193600,112656000.0,43.4081993103,4.88184022903,12.8629999161,1.34341001511,126.8961724,37.50965994,500.0
V02Q1940168,2.9,2.0,26.9616071429,26.044815366,27.1162454906,26.7075559998,11803,20050,0,6424675,10000,152475,15775,112400,1191850,111455000.0,9.59766960144,8.48528003693,10.6031999588,0.151962995529,126.8969879,37.51493903,498.910003662
V02Q1940196,3.3,17.0,27.3873655203,26.7113549491,27.4880427905,27.1955877533,25199,25275,1825,6347575,37275,36175,0,51300,1273875,106722000.0,45.7323989868,2.7113699913,21.4997997284,1.65006995201,126.9205341,37.50989238,496.708007812
V02Q1940188,3.8,19.0,27.2327160494,26.9971713472,27.542387015,27.2574248038,19675,4950,0,6298425,11925,14325,0,58975,1317025,110698000.0,14.7945995331,2.9180700779,11.9906997681,0.5533670187,126.9051679,37.50213873,499.70300293
V02Q1940198,3.4,3.0,27.5186166226,26.8043003756,27.5099933092,27.2776367691,27412,0,0,6210275,37175,13550,0,71150,1375700,107109000.0,34.8898010254,3.23531007767,15.3140001297,1.2032200098,126.9108075,37.50001275,500.266998291
V02Q1940176,3.8,9.0,26.7994642857,26.050656265,27.2806621773,26.7102609094,24968,26225,1825,6225075,14700,20700,0,62650,1234525,105269000.0,18.0734996796,12.957400322,31.9342002869,2.46870994568,126.9214383,37.50618001,500.92300415
